_id,省,确认,疑似,死亡,治愈
0,湖北,27100,0,780,1447
18,广东,1120,0,1,127
38,浙江,1075,0,0,189
49,河南,1033,0,6,137
68,湖南,838,0,1,170
82,安徽,779,0,1,72
98,江西,740,0,0,72
109,江苏,468,0,0,70
122,重庆,446,0,2,48
161,山东,444,0,1,53
176,四川,386,0,1,66
197,北京,326,0,2,37
214,黑龙江,307,0,6,14
226,上海,293,0,1,44
244,福建,250,0,0,28
254,陕西,208,0,0,25
266,河北,206,0,2,30
277,广西,195,0,1,18
291,云南,141,0,0,18
306,海南,128,0,3,15
321,山西,115,0,0,22
332,辽宁,105,0,0,10
345,贵州,96,0,1,7
354,天津,90,0,1,4
370,甘肃,79,0,1,14
382,吉林,78,0,1,7
392,内蒙古,54,0,0,5
403,宁夏,45,0,0,13
409,新疆,45,0,0,0
420,香港,26,0,1,0
421,台湾,18,0,0,1
422,青海,18,0,0,3
424,澳门,10,0,0,1
425,西藏,1,0,0,0
