_id,省,市,确认,疑似,死亡,治愈
1,湖北,武汉,37914,0,1123,2502
2,湖北,孝感,3114,0,62,313
3,湖北,黄冈,2817,0,68,611
4,湖北,荆州,1478,0,32,192
5,湖北,随州,1232,0,19,96
6,湖北,鄂州,1192,0,33,199
7,湖北,襄阳,1128,0,18,85
8,湖北,黄石,980,0,13,170
9,湖北,宜昌,906,0,15,92
10,湖北,荆门,902,0,28,112
11,湖北,咸宁,840,0,8,127
12,湖北,十堰,597,0,2,100
13,湖北,仙桃,514,0,17,63
14,湖北,天门,422,0,10,21
15,湖北,恩施州,244,0,4,71
16,湖北,潜江,116,0,5,12
17,湖北,神农架,10,0,0,8
18,广东,深圳,406,0,0,104
19,广东,广州,335,0,0,93
20,广东,珠海,95,0,0,27
21,广东,佛山,84,0,0,22
22,广东,东莞,81,0,1,7
23,广东,中山,65,0,0,26
24,广东,惠州,58,0,0,18
25,广东,汕头,25,0,0,9
26,广东,江门,22,0,0,3
27,广东,湛江,22,0,0,11
28,广东,肇庆,17,0,1,7
29,广东,梅州,15,0,0,7
30,广东,茂名,13,0,0,3
31,广东,阳江,13,0,0,5
32,广东,清远,12,0,0,5
33,广东,韶关,10,0,0,3
34,广东,揭阳,8,0,0,4
35,广东,潮州,5,0,0,0
36,广东,汕尾,5,0,0,1
37,广东,河源,3,0,0,1
38,广东,地区待确认,0,0,0,30
39,河南,信阳,252,0,0,28
40,河南,南阳,150,0,2,28
41,河南,郑州,144,0,0,36
42,河南,驻马店,138,0,0,25
43,河南,商丘,90,0,0,9
44,河南,周口,70,0,0,16
45,河南,平顶山,58,0,1,13
46,河南,新乡,55,0,1,6
47,河南,安阳,51,0,0,10
48,河南,许昌,37,0,0,2
49,河南,漯河,34,0,0,6
50,河南,洛阳,31,0,0,2
51,河南,焦作,30,0,1,1
52,河南,开封,25,0,0,1
53,河南,鹤壁,19,0,0,3
54,河南,濮阳,17,0,0,1
55,河南,三门峡,7,0,0,3
56,河南,济源示范区,4,0,0,0
57,河南,地区待确认,0,0,8,166
58,浙江,温州,499,0,0,159
59,浙江,杭州,166,0,0,73
60,浙江,宁波,154,0,0,46
61,浙江,台州,145,0,0,53
62,浙江,金华,55,0,0,24
63,浙江,嘉兴,43,0,0,10
64,浙江,绍兴,42,0,0,17
65,浙江,衢州,21,0,0,8
66,浙江,丽水,17,0,0,10
67,浙江,舟山,10,0,0,5
68,浙江,湖州,10,0,0,4
69,湖南,长沙,241,0,0,66
70,湖南,岳阳,153,0,1,48
71,湖南,邵阳,100,0,1,50
72,湖南,株洲,78,0,0,23
73,湖南,常德,78,0,0,27
74,湖南,娄底,75,0,0,29
75,湖南,益阳,59,0,0,24
76,湖南,衡阳,47,0,0,26
77,湖南,永州,43,0,0,23
78,湖南,怀化,40,0,0,28
79,湖南,郴州,39,0,0,22
80,湖南,湘潭,35,0,0,14
81,湖南,湘西自治州,8,0,0,6
82,湖南,张家界,5,0,0,3
83,安徽,合肥,168,0,1,43
84,安徽,蚌埠,153,0,5,7
85,安徽,阜阳,150,0,0,32
86,安徽,亳州,107,0,0,25
87,安徽,安庆,82,0,0,33
88,安徽,六安,63,0,0,15
89,安徽,宿州,39,0,0,11
90,安徽,马鞍山,35,0,0,10
91,安徽,芜湖,31,0,0,11
92,安徽,铜陵,28,0,0,10
93,安徽,淮北,26,0,0,10
94,安徽,淮南,23,0,0,7
95,安徽,池州,17,0,0,4
96,安徽,滁州,13,0,0,7
97,安徽,黄山,9,0,0,1
98,安徽,宣城,6,0,0,4
99,安徽,地区待确认,0,0,0,2
100,江西,南昌,222,0,0,72
101,江西,新余,127,0,0,34
102,江西,上饶,123,0,0,20
103,江西,九江,115,0,0,18
104,江西,宜春,102,0,0,20
105,江西,赣州,76,0,1,14
106,江西,抚州,72,0,0,17
107,江西,萍乡,32,0,0,4
108,江西,吉安,20,0,0,7
109,江西,鹰潭,18,0,0,3
110,江西,景德镇,5,0,0,1
111,江西,赣江新区,1,0,0,0
112,江苏,南京,91,0,0,27
113,江苏,苏州,86,0,0,17
114,江苏,徐州,77,0,0,20
115,江苏,淮安,60,0,0,11
116,江苏,无锡,52,0,0,15
117,江苏,连云港,46,0,0,10
118,江苏,常州,43,0,0,11
119,江苏,南通,40,0,0,13
120,江苏,泰州,37,0,0,16
121,江苏,盐城,27,0,0,6
122,江苏,扬州,21,0,0,6
123,江苏,镇江,12,0,0,2
124,江苏,宿迁,12,0,0,6
125,重庆,万州区,104,0,3,27
126,重庆,江北区,26,0,0,3
127,重庆,合川区,23,0,0,5
128,重庆,云阳县,23,0,0,13
129,重庆,綦江区,22,0,0,3
130,重庆,开州区,20,0,1,12
131,重庆,垫江县,20,0,0,4
132,重庆,九龙坡区,20,0,1,3
133,重庆,奉节县,20,0,0,4
134,重庆,渝中区,20,0,0,5
135,重庆,忠县,19,0,0,9
136,重庆,长寿区,18,0,0,8
137,重庆,两江新区,17,0,0,4
138,重庆,潼南区,17,0,0,2
139,重庆,渝北区,15,0,0,5
140,重庆,南岸区,15,0,0,2
141,重庆,石柱县,14,0,0,5
142,重庆,大足区,14,0,0,1
143,重庆,巫溪县,13,0,0,7
144,重庆,巫山县,10,0,0,5
145,重庆,丰都县,10,0,0,2
146,重庆,荣昌区,9,0,0,0
147,重庆,铜梁区,9,0,0,1
148,重庆,璧山区,8,0,0,4
149,重庆,沙坪坝区,8,0,0,0
150,重庆,大渡口区,7,0,0,4
151,重庆,巴南区,6,0,0,1
152,重庆,永川区,5,0,0,2
153,重庆,江津区,4,0,0,2
154,重庆,高新区,4,0,0,1
155,重庆,梁平区,4,0,0,2
156,重庆,涪陵区,3,0,0,1
157,重庆,城口县,2,0,0,2
158,重庆,黔江区,2,0,0,2
159,重庆,彭水县,2,0,0,0
160,重庆,万盛经开区,1,0,0,0
161,重庆,酉阳县,1,0,0,0
162,重庆,武隆区,1,0,0,0
163,重庆,秀山县,1,0,0,1
164,山东,青岛,56,0,1,19
165,山东,济宁,49,0,0,15
166,山东,临沂,47,0,0,25
