_id,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,湖北,武汉,0,50006,2538,44951,5.08,89.89
2,湖北,鄂州,0,1394,59,1332,4.23,95.55
3,湖北,潜江,0,198,9,188,4.55,94.95
4,湖北,孝感,0,3518,128,3389,3.64,96.33
5,湖北,襄阳,0,1175,39,1135,3.32,96.60
6,湖北,仙桃,0,575,22,552,3.83,96.00
7,湖北,荆门,0,928,40,887,4.31,95.58
8,湖北,宜昌,0,931,36,894,3.87,96.03
9,湖北,十堰,0,672,8,664,1.19,98.81
10,湖北,黄石,0,1015,39,976,3.84,96.16
11,湖北,荆州,0,1580,52,1528,3.29,96.71
12,湖北,随州,0,1307,45,1262,3.44,96.56
13,湖北,恩施州,0,252,7,245,2.78,97.22
14,湖北,咸宁,0,836,15,821,1.79,98.21
15,湖北,天门,0,496,15,481,3.02,96.98
16,湖北,黄冈,0,2907,125,2782,4.30,95.70
17,湖北,神农架,0,11,0,11,0.00,100.00
18,香港,地区待确认,65,518,4,111,0.77,21.43
19,台湾,地区待确认,15,267,2,30,0.75,11.24
20,北京,境外输入,3,156,0,15,0.00,9.62
21,北京,朝阳,0,72,0,0,0.00,0.00
22,北京,海淀,0,64,0,0,0.00,0.00
23,北京,西城,0,53,0,0,0.00,0.00
24,北京,丰台,0,43,0,0,0.00,0.00
25,北京,大兴,0,39,0,0,0.00,0.00
26,北京,昌平,0,29,0,0,0.00,0.00
27,北京,外地来京,0,25,0,0,0.00,0.00
28,北京,通州,0,19,0,0,0.00,0.00
29,北京,房山,0,16,0,0,0.00,0.00
30,北京,东城,0,14,0,0,0.00,0.00
31,北京,石景山,0,14,0,0,0.00,0.00
32,北京,顺义,0,10,0,0,0.00,0.00
33,北京,密云,0,7,0,0,0.00,0.00
34,北京,怀柔,0,7,0,0,0.00,0.00
35,北京,门头沟,0,3,0,0,0.00,0.00
36,北京,延庆,0,1,0,0,0.00,0.00
37,北京,地区待确认,0,0,8,394,0.00,0.00
38,上海,境外输入,17,146,0,7,0.00,4.79
39,上海,外地来沪,0,111,0,107,0.00,96.40
40,上海,宝山,0,22,1,19,4.55,86.36
41,上海,嘉定,0,9,1,7,11.11,77.78
42,上海,青浦,0,6,0,6,0.00,100.00
43,上海,浦东,0,61,0,61,0.00,100.00
44,上海,黄浦,0,6,1,5,16.67,83.33
45,上海,地区待确认,0,0,0,0,0.00,0.00
46,上海,静安,0,16,1,15,6.25,93.75
47,上海,徐汇,0,18,1,17,5.56,94.44
48,上海,崇明,0,4,0,4,0.00,100.00
49,上海,金山,0,4,0,4,0.00,100.00
50,上海,虹口,0,7,0,7,0.00,100.00
51,上海,奉贤,0,9,0,9,0.00,100.00
52,上海,杨浦,0,9,0,9,0.00,100.00
53,上海,普陀,0,11,0,11,0.00,100.00
54,上海,长宁,0,13,0,13,0.00,100.00
55,上海,松江,0,14,0,14,0.00,100.00
56,上海,闵行,0,19,0,19,0.00,100.00
57,广东,广州,8,414,1,342,0.24,82.61
58,广东,深圳,2,446,3,416,0.67,93.27
59,广东,佛山,1,92,0,84,0.00,91.30
60,广东,珠海,0,102,1,97,0.98,95.10
61,广东,中山,0,68,0,66,0.00,97.06
62,广东,湛江,0,24,0,22,0.00,91.67
63,广东,揭阳,0,9,0,8,0.00,88.89
64,广东,梅州,0,17,0,16,0.00,94.12
65,广东,潮州,0,6,0,5,0.00,83.33
66,广东,肇庆,0,20,1,18,5.00,90.00
67,广东,茂名,0,14,0,14,0.00,100.00
68,广东,阳江,0,14,0,14,0.00,100.00
69,广东,江门,0,23,0,23,0.00,100.00
70,广东,汕头,0,25,0,25,0.00,100.00
71,广东,惠州,0,62,0,62,0.00,100.00
72,广东,清远,0,12,0,12,0.00,100.00
73,广东,韶关,0,10,1,9,10.00,90.00
74,广东,东莞,0,100,1,99,1.00,99.00
75,广东,汕尾,0,5,0,5,0.00,100.00
76,广东,河源,0,4,0,4,0.00,100.00
77,广东,地区待确认,0,0,0,0,0.00,0.00
78,福建,境外输入,6,41,0,0,0.00,0.00
79,福建,莆田,0,56,0,56,0.00,100.00
80,福建,漳州,0,20,0,20,0.00,100.00
81,福建,地区待确认,0,0,0,0,0.00,0.00
