_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,黑龙江,7,905,13,472,1.44,52.15
2,香港,2,1025,4,602,0.39,58.73
3,台湾,22,420,6,189,1.43,45.00
4,上海,3,638,7,521,1.10,81.66
5,湖北,0,68128,4512,63511,6.62,93.22
6,内蒙古,1,194,1,104,0.52,53.61
7,广东,1,1581,8,1494,0.51,94.50
8,北京,0,593,8,514,1.35,86.68
9,山西,0,197,0,135,0.00,68.53
10,澳门,0,45,0,20,0.00,44.44
11,浙江,0,1268,1,1249,0.08,98.50
12,福建,0,355,1,339,0.28,95.49
13,山东,0,787,7,765,0.89,97.20
14,天津,0,189,3,174,1.59,92.06
15,江苏,0,653,0,643,0.00,98.47
16,吉林,0,104,1,97,0.96,93.27
17,河北,0,328,6,317,1.83,96.65
18,四川,0,561,3,554,0.53,98.75
19,云南,0,184,2,178,1.09,96.74
20,重庆,0,579,6,570,1.04,98.45
21,陕西,0,256,3,252,1.17,98.44
22,辽宁,0,146,2,143,1.37,97.95
23,安徽,0,991,6,984,0.61,99.29
24,湖南,0,1019,4,1015,0.39,99.61
25,甘肃,0,139,2,137,1.44,98.56
26,新疆,0,76,3,73,3.95,96.05
27,宁夏,0,75,0,75,0.00,100.00
28,海南,0,168,6,162,3.57,96.43
29,河南,0,1276,22,1254,1.72,98.28
30,贵州,0,147,2,145,1.36,98.64
31,青海,0,18,0,18,0.00,100.00
32,西藏,0,1,0,1,0.00,100.00
33,江西,0,937,1,936,0.11,99.89
34,广西,0,254,2,252,0.79,99.21
