_id,省,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
1,香港,62,4243,63,3189,1.48,75.16
2,新疆,8,883,3,375,0.34,42.47
3,辽宁,0,261,2,202,0.77,77.39
4,上海,2,800,7,737,0.88,92.12
5,山东,4,821,7,789,0.85,96.10
6,台湾,1,481,7,450,1.46,93.56
7,广东,2,1707,8,1678,0.47,98.30
8,陕西,0,341,3,324,0.88,95.01
9,四川,2,618,3,602,0.49,97.41
10,浙江,0,1275,1,1268,0.08,99.45
11,北京,0,935,9,920,0.96,98.40
12,内蒙古,0,259,1,254,0.39,98.07
13,湖北,0,68139,4512,63623,6.62,93.37
14,江苏,0,659,0,656,0.00,99.54
15,福建,0,368,1,364,0.27,98.91
16,甘肃,0,169,2,165,1.18,97.63
17,河北,1,351,6,343,1.71,97.72
18,吉林,0,157,2,154,1.27,98.09
19,云南,0,191,2,188,1.05,98.43
20,黑龙江,0,948,13,934,1.37,98.52
21,宁夏,0,75,0,75,0.00,100.00
22,贵州,0,147,2,145,1.36,98.64
23,江西,0,932,1,931,0.11,99.89
24,河南,0,1276,22,1254,1.72,98.28
25,山西,0,201,0,201,0.00,100.00
26,西藏,0,1,0,1,0.00,100.00
27,天津,0,205,3,202,1.46,98.54
28,重庆,0,583,6,577,1.03,98.97
29,澳门,0,46,0,46,0.00,100.00
30,安徽,0,991,6,985,0.61,99.39
31,海南,0,171,6,165,3.51,96.49
32,湖南,0,1019,4,1015,0.39,99.61
33,广西,0,255,2,253,0.78,99.22
34,青海,0,18,0,18,0.00,100.00
